ticker
AAPL
ABBV
ABT
ADBE
ANET
AMGN
AMT
AMZN
AMD
AON
AXP
AVB
AVGO
BA
BAC
BKNG
BLK
BMY
BSX
BUSN
CHTR
C
CAT
CCI
CME
CMG
CMCSA
COP
COST
CRM
CSCO
CL
CVX
D
DE
DHR
DIS
DLR
DOW
DUK
ECL
ED
EQIX
EXC
EOG
EMR
GOOG
GOOGL
GS
GE
HAL
HD
HON
IBM
INTU
INTC
ISRG
JPM
KMB
KO
LIN
LLY
LMT
LOW
MAR
MDLZ
MDT
MCD
MPC
MRK
MS
MSFT
MMM
MUFG
NFLX
NEE
NEM
NKE
NOW
NUE
OXY
ORCL
O
PG
PFE
PM
PNC
PLD
PSA
PSX
PEP
QCOM
RTX
SHW
SRE
SO
SCHW
SBUX
SLB
SYK
TMUS
TMO
T
TXN
TFC
UNH
UNP
UPS
USB
VZ
VLO
WELL
WFC
WM
WMT
XEL
XOM
YUM
